"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERC2",0,-0.625589781344861,0.211,0.619,0
"CADPS",0,-0.729058032125235,0.214,0.622,0
"ADGRB3",0,-0.768720154099995,0.203,0.611,0
"DST",0,-0.309601747010264,0.319,0.725,0
"SRRM4",0,-0.767815358761072,0.199,0.605,0
"BEX2",0,-0.729549667401227,0.197,0.603,0
"KIDINS220",0,-0.34650700641418,0.352,0.757,0
"ATP5MD",0,-0.765814486287324,0.175,0.58,0
"MAP6",0,-0.281772081339601,0.297,0.701,0
"ARGLU1",0,-0.892613772774542,0.188,0.592,0
"ANKS1B",0,-1.08892735631254,0.164,0.568,0
"MYCBP2",0,-0.505063842602469,0.242,0.645,0
"NDN",0,-0.830819749231205,0.161,0.564,0
"JAKMIP2",0,-0.787676867840563,0.193,0.595,0
"NDUFA3",0,-1.55503642093406,0.076,0.478,0
"PIK3R3",0,-1.11798759642841,0.117,0.518,0
"SQLE",0,-0.453404565914218,0.255,0.656,0
"TSC22D1",0,-0.27157497659366,0.378,0.779,0
"MEST",0,-0.464520544614217,0.301,0.702,0
"FDFT1",0,-0.463563360488419,0.298,0.699,0
"UQCR11",0,-0.814571419859749,0.178,0.579,0
"KHDRBS1",0,-0.351089630114787,0.32,0.72,0
"MACF1",0,-0.255117051365948,0.302,0.702,0
"MAPK10",0,-0.767123975357687,0.195,0.595,0
"HMGCR",0,-0.298524502065497,0.361,0.759,0
"RPS29",0,-0.777554623421843,0.201,0.599,0
"HP1BP3",0,-0.624343317931156,0.199,0.596,0
"NKAIN2",0,-1.08168811491658,0.156,0.552,0
"POU2F2",0,-0.511379531311186,0.271,0.665,0
"GSK3B",0,-0.347853158676406,0.255,0.648,0
"LUC7L3",0,-0.631397618579608,0.214,0.607,0
"SORBS2",0,-0.87094999716266,0.179,0.572,0
"AC233296.1",0,-0.958509961434819,0.146,0.538,0
"TTC28",0,-0.698325247278922,0.207,0.598,0
"ZCCHC12",0,-0.432511281404576,0.266,0.657,0
"COX6C",0,-0.562921978745929,0.306,0.697,0
"FDPS",0,-0.82039921573388,0.143,0.533,0
"MSMO1",0,-0.30048046611581,0.281,0.671,0
"GRIA1",0,-1.23273197477277,0.138,0.528,0
"TENM2",0,-0.997513262766363,0.184,0.574,0
"BEX1",0,-0.350875822174119,0.332,0.722,0
"PTPRD",0,-0.544341483674025,0.258,0.647,0
"DACH1",0,-1.38408944239271,0.128,0.517,0
"ATRX",0,-0.441306037667581,0.234,0.622,0
"HNRNPK",0,-0.355575323936742,0.256,0.643,0
"PRKAR2B",0,-0.324822059571967,0.291,0.677,0
"DAAM1",0,-0.346993059999517,0.247,0.633,0
"HMGN2",0,-0.634798113394502,0.205,0.59,0
"KDM5B",0,-0.429778679249416,0.243,0.628,0
"ATP2B1",0,-0.365918083354623,0.255,0.639,0
"PPP3CA",0,-0.261434292691678,0.263,0.646,0
"APC",0,-0.337673985246502,0.259,0.642,0
"SAMD5",0,-1.06267747063819,0.155,0.538,0
"ASXL3",0,-0.636275062987665,0.198,0.581,0
"NRCAM",0,-0.460202703690797,0.227,0.609,0
"KCNH8",0,-1.43518842089557,0.131,0.511,0
"ZNF385D",0,-1.47166278538872,0.131,0.511,0
